Cor2 Halo,Cor2 Pa,Cor2 Tf,Cor2 Time,Cor2 Ts,Cor2 Type,Cor2 Vmax,Cor2 Vmin,Cor2 Vsigma,Cor2 V,Cor2 Width,Document Index (generated),Fl Endtime,Fl Goes,Fl Loc,Fl Peaktime,Fl Starttime,Fl Tf,Fl Ts,Fl Type,Hel Id,Hi Pan,Hi Pas,Hi Sc,Hi Time,Number of Records per fcast.json,Number of Records,Smart Bipolesep,Smart Bmax,Smart Bmean,Smart Bmin,Smart Frcflx,Smart Hglatlon,Smart Limb,Smart Negarea,Smart Negflx,Smart Posarea,Smart Posflx,Smart Psllen,Smart Rvalue,Smart Time,Smart Totarea,Smart Totflx,Smart Wlsg,Srs Area,Srs Hale,Srs Ll,Srs Loc,Srs Mcintosh,Srs Nn,Srs No,Srs Time,Abs Neg Dedt In,Abs Neg Dedt Sh,Abs Neg Dhdt In,Abs Neg Dhdt Sh,Abs Tot Dedt,Abs Tot Dedt In,Abs Tot Dedt In Plus Sh,Abs Tot Dedt Sh,Abs Tot Dhdt,Abs Tot Dhdt In,Abs Tot Dhdt In Plus Sh,Abs Tot Dhdt Sh,Alpha,ave (FC data.sharp kw.hgradbh),ave (FC data.sharp kw.hz),ave (FC data.sharp kw.jz),ave (FC data.sharp kw.usflux),ave (FC data.sharp kw.ushz),ave (FC data.sharp kw.usiz),Fc Data Q,Fit R,Ising Energy,kurtosis (FC data.sharp kw.hgradbh),kurtosis (FC data.sharp kw.hz),kurtosis (FC data.sharp kw.jz),kurtosis (FC data.sharp kw.usflux),kurtosis (FC data.sharp kw.ushz),kurtosis (FC data.sharp kw.usiz),L Over Min Hmin,L Over Minhmin,Lmax Over Hmin,max (FC data.sharp kw.hgradbh),max (FC data.sharp kw.hz),max (FC data.sharp kw.jz),max (FC data.sharp kw.usflux),max (FC data.sharp kw.ushz),max (FC data.sharp kw.usiz),Max L Over Hmin,Maxl Over Hmin,median (FC data.sharp kw.hgradbh),median (FC data.sharp kw.hz),median (FC data.sharp kw.jz),median (FC data.sharp kw.usflux),median (FC data.sharp kw.ushz),median (FC data.sharp kw.usiz),Num Neg,Num Pos,Pos Dedt In,Pos Dedt Sh,Pos Dhdt In,Pos Dhdt Sh,R Value Blos Logr,R Value Br Logr,Sigma,skewness (FC data.sharp kw.hgradbh),skewness (FC data.sharp kw.hz),skewness (FC data.sharp kw.jz),skewness (FC data.sharp kw.usflux),skewness (FC data.sharp kw.ushz),skewness (FC data.sharp kw.usiz),stddev (FC data.sharp kw.hgradbh),stddev (FC data.sharp kw.hz),stddev (FC data.sharp kw.jz),stddev (FC data.sharp kw.usflux),stddev (FC data.sharp kw.ushz),stddev (FC data.sharp kw.usiz),Tot L Over Hmin,Tot Len Pil,Tot Uns Dedt,Tot Uns Dedt In,Tot Uns Dedt Sh,Tot Uns Dhdt,Tot Uns Dhdt In,Tot Uns Dhdt Sh,total (FC data.sharp kw.hgradbh),total (FC data.sharp kw.hz),total (FC data.sharp kw.jz),total (FC data.sharp kw.usflux),total (FC data.sharp kw.ushz),total (FC data.sharp kw.usiz),Value Int,Value Tot
 ,90, 6-May-2007 05:32:42.000, 6-May-2007 02:07:30.004, 5-May-2007 17:57:00.000,CME,520,158,90,373,54,1, 6-May-2007 01:25:00.000,B1.3, , 6-May-2007 01:18:00.000, 6-May-2007 01:13:00.000, 6-May-2007 01:45:46.879, 6-May-2007 00:40:37.504,swpc,HCME_A__20070506_01,85,120,A, 6-May-2007 06:50:00.000,1,1,0,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0, ,0, , ,0,0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,75,12:42.0,37:30.0,37:00.0,CME,416,255,31,337,100,2,12:00.0,B2.7,N02E50,07:00.0,02:00.0,15:46.9,10:37.5,swpc,HCME_A__20070516_01,30,120,A,30:00.0,1,1,10.66477108,1794.963257,-46.94431686,-1631.414185,-0.201366127,N02E50, ,344.897583,7.21E+21,158.8244476,3.45E+21,127.1833344,58420.44922,06:42.0,503.7220459,1.87E+22,164915.3281,80,Beta,5,N02E61,Cao,4,956,30:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,119,52:42.0,37:30.0,17:00.0,CME,480,176,94,290,40,3,07:00.0,B5.5,N01E25,56:00.0,47:00.0,15:46.9,10:37.5,swpc,HCME_A__20070518_01,95,115,A,10:00.0,1,1,9.60416317,2160.440918,-28.23862648,-2159.187012,-0.181288764,N02E27, ,337.7638245,8.11E+21,189.670105,4.57E+21,107.3313599,54731.80859,55:42.0,527.4338989,1.96E+22,112549.0859,220,Beta-Gamma-Delta,6,N02E35,Dkc,22,956,30:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,295,12:42.0,08:19.4,37:00.0,Flow,480,271,61,337,16,4,57:08.0,,N15W05,57:02.0,56:44.0,46:36.2,41:26.9,hessi,HCME_B__20070521_01,335,250,B,30:00.0,1,1,0,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0, ,0, , ,0,0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,108,12:42.0,37:30.0,37:00.0,CME,265,120,52,164,38,5,17:00.0,B1.3, ,14:00.0,10:00.0,15:46.9,10:37.5,swpc,HCME_A__20070521_01,65,120,A,30:00.0,1,1,0,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0, ,0, , ,0,0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,275,52:42.0,08:19.8,17:00.0,CME,595,312,76,439,80,6,54:48.0,B3.9*,N00W44,52:54.0,52:44.0,46:36.7,41:27.3,hessi,HCME_B__20070522_01,330,220,B,10:00.0,1,1,22.76865959,1544.079712,-12.57374096,-1155.051147,-0.07004372,N02W43, ,242.1209717,3.80E+21,164.1443176,2.71E+21,36.47150421,19838.58984,59:42.0,406.2652893,1.55E+22,22516.99219,90,Beta,4,N03W32,Dao,5,956,30:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,276, 2-Jun-2007 14:11:42.000, 2-Jun-2007 03:38:23.499, 2-Jun-2007 02:36:00.000,CME,431,147,94,286,22,7, 2-Jun-2007 02:53:00.000,B1.7, , 2-Jun-2007 02:44:00.000, 2-Jun-2007 02:40:00.000, 2-Jun-2007 03:16:40.374, 2-Jun-2007 02:11:30.999,swpc,HCME_B__20070602_01,290,265,B, 2-Jun-2007 15:29:00.000,1,1,0,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0, ,0, , ,0,0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0,31:42.0, ,56:00.0, ,0,0,0,0,0,8,03:00.0,B4.2, ,47:00.0,18:00.0,34:16.9,29:07.5,swpc,HCME_B__20070614_01,280,260,B,49:00.0,1,1,0,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0, ,0, , ,0,0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,94, 8-Jul-2007 14:11:42.000, 8-Jul-2007 04:37:30.004, 8-Jul-2007 02:36:00.000,Flow,208,103,33,150,22,9, 8-Jul-2007 04:12:00.000,B1.1,S08E77, 8-Jul-2007 04:06:00.000, 8-Jul-2007 04:02:00.000, 8-Jul-2007 04:15:46.879, 8-Jul-2007 03:10:37.504,swpc,HCME_A__20070708_01,85,110,A, 8-Jul-2007 15:29:00.000,1,1,24.14006043,2430.150146,15.74720955,-1895.380859,0.24257201,S04E76,IV,217.5708466,4.97E+21,402.9406433,1.24E+22,1044.682373,609618, 8-Jul-2007 04:41:42.000,620.5114136,3.04E+22,556384.875,50,Alpha,5,S09E83,Axx,1,963, 8-Jul-2007 00:30:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,89, 9-Jul-2007 00:11:42.000, 8-Jul-2007 19:07:30.005, 8-Jul-2007 12:36:00.000,CME,480,183,93,378,52,10, 8-Jul-2007 17:59:00.000,B9.8,S07E71, 8-Jul-2007 17:57:00.000, 8-Jul-2007 17:54:00.000, 8-Jul-2007 18:45:46.880, 8-Jul-2007 17:40:37.505,swpc,HCME_A__20070709_01,60,120,A, 9-Jul-2007 01:29:00.000,1,1,26.12994576,2535.633545,29.91776466,-2417.2229,0.16353032,S05E70,IV,421.5366211,1.03E+22,747.0478516,1.82E+22,450.2863159,314844.625, 8-Jul-2007 17:56:42.000,1168.584595,4.84E+22,152956.7344,50,Alpha,5,S09E83,Axx,1,963, 8-Jul-2007 00:30:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
